 "year" "mean season Bio-E" "fcm convergence" "probability of mutation" "mutated?" "recombined?" "decay-rate" "energy-gain" "ndvi-weight" "caribou-veg-factor" "caribou-rough-factor" "caribou-insect-factor" "caribou-modifier-factor" "caribou-deflection-factor" "caribou-precip-factor" "solution success"
 0 9549077.687269153 0 0 0 0 0.835 0.639 0.645 0.661 0.407 0.509 0.248 0.699 0.437 0
 1 1.180528163728501E7 0 0 0 0 0.835 0.639 0.645 0.661 0.407 0.509 0.248 0.699 0.437 0
 2 1.1892661993484247E7 0.43999999999999995 0.43999999999999995 1 0 0.835 0.639 0.645 0.661 0.407 0.509 0.248 0.699 0.437 0
 3 1.8297974341620564E7 0.6599999999999999 0.6599999999999999 0 0 0.835 0.931 0.645 0.661 0.407 0.509 0.248 0.699 0.437 0
 4 1.4138731243666813E7 0.8200000000000001 0.8200000000000001 1 0 0.835 0.931 0.645 0.661 0.407 0.509 0.248 0.699 0.437 0
 5 1.6690829526448157E7 0.76 0.76 1 0 0.835 0.931 0.645 0.661 0.4359999999999999 0.509 0.248 0.699 0.437 0
 6 1.5481858995924177E7 0.84 0.84 1 0 0.974 0.931 0.645 0.661 0.4359999999999999 0.509 0.248 0.699 0.437 0
 7 1.5032153746603103E7 0.78 0.78 1 0 0.974 0.931 0.9850000000000001 0.661 0.4359999999999999 0.509 0.248 0.699 0.437 0
 8 1.5696899269628216E7 0.88 0.88 1 0 0.974 0.931 0.9850000000000001 0.661 0.913 0.509 0.248 0.699 0.437 0
 9 1.465811540122186E7 0.72 0.72 1 0 0.974 0.931 0.9850000000000001 0.661 0.913 0.509 0.248 0.699 0.6480000000000001 0
 10 1.6989028089755632E7 0.8200000000000001 0.8200000000000001 1 0 0.974 0.931 0.9850000000000001 0.661 0.913 0.509 0.248 0.699 0.9910000000000001 0
 11 1.6049826816166582E7 0.8200000000000001 0.8200000000000001 1 0 0.911 0.931 0.9850000000000001 0.661 0.913 0.509 0.248 0.699 0.9910000000000001 0
 12 1.6211520074268885E7 0.84 0.84 1 0 0.911 0.931 0.812 0.661 0.913 0.509 0.248 0.699 0.9910000000000001 0
 13 1.810656178818108E7 0.9 0.9 1 0 0.911 0.931 0.812 0.661 0.665 0.509 0.248 0.699 0.9910000000000001 0
 14 1.928008178182922E7 0.9 0.9 1 0 0.911 0.931 0.812 0.661 0.665 0.509 0.248 0.699 0.684 0
 15 1.894600628545856E7 0.92 0.92 1 0 0.911 0.931 0.19500000000000006 0.661 0.665 0.509 0.248 0.699 0.684 0
 16 1.6318123346720621E7 0.88 0.88 1 0 0.911 0.931 0.19500000000000006 0.556 0.665 0.509 0.248 0.699 0.684 0
 17 1.9398178329094928E7 0.78 0.78 1 0 0.911 0.931 0.19500000000000006 0.556 0.665 0.509 0.248 0.013000000000000012 0.684 0
 18 1.716662482231396E7 0.78 0.78 1 0 0.911 0.931 0.19500000000000006 0.556 0.665 0.509 0.10399999999999998 0.013000000000000012 0.684 0
 19 1.4752698028892787E7 0.9 0.9 1 0 0.911 0.931 0.17800000000000005 0.556 0.665 0.509 0.10399999999999998 0.013000000000000012 0.684 0
 20 6470432.331000549 0.8 0.8 0 0 0.911 0.3860000000000001 0.17800000000000005 0.556 0.665 0.509 0.10399999999999998 0.013000000000000012 0.684 0
 21 5969287.127263418 0.78 0.78 1 0 0.911 0.3860000000000001 0.17800000000000005 0.556 0.665 0.509 0.10399999999999998 0.013000000000000012 0.684 0
 22 5495172.293711853 0.78 0.78 1 0 0.911 0.3860000000000001 0.17800000000000005 0.556 0.665 0.8969999999999999 0.10399999999999998 0.013000000000000012 0.684 0
